Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
Indio city,89348,43.5,35675,58.8,41.2,2.5,3.39,N,N,3827,5.1,6.7,59234,66,26143,29.1,1776,2,48,0.1,1750,1.9,0,0,0,0,833,0.9,77.1,22.9,51.2,85514,57.7,35.3
Jurupa Valley city,105455,30.9,23784,81.7,18.3,4.42,4.82,N,N,3843,5.1,11.7,75482,71.2,19538,18.4,5673,5.4,132,0.1,3329,3.1,120,0.1,152,0.1,1606,1.5,75.5,24.5,41.8,98152,56,21.3
Lake Elsinore city,66295,28.9,16388,84.5,15.5,4.05,4.29,N,N,1512,3.4,15,37130,55.9,17071,25.7,3560,5.4,193,0.3,6395,9.6,0,0,959,1.4,1104,1.7,76.2,23.8,42.4,60838,48.2,14.9
Menifee city,90116,39.1,28891,71.3,28.7,3.13,3.8,N,N,7663,10.9,2.4,33405,36.9,43520,48,4870,5.4,328,0.4,5405,6,346,0.4,192,0.2,2533,2.8,84.6,15.4,71.4,84777,26,7.4
Moreno Valley city,206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1
Murrieta city,112612,34.9,32407,78.5,21.5,3.48,3.9,4768,28.1,8641,11,7,31866,28.1,58953,52,5007,4.4,310,0.3,10028,8.8,173,0.2,319,0.3,6660,5.9,86.6,13.4,71.6,104337,22,7.3
Perris city,77725,27.4,15947,86.4,13.6,4.86,5.04,N,N,1168,2.3,0,65682,84.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,68,32,43,69715,72.4,25.2
Riverside city,325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8
Temecula city,113517,34.9,34277,81.1,18.9,3.33,3.71,N,N,8459,10.4,3.1,35655,31.2,60847,53.2,5034,4.4,364,0.3,7777,6.8,67,0.1,308,0.3,4266,3.7,85.1,14.9,63.8,107616,20.6,6
Sacramento County,1517379,36.3,543250,66.2,33.8,2.77,3.37,39354,23.6,77054,6.6,5,355942,23.3,683662,44.7,142022,9.3,4611,0.3,233337,15.2,18072,1.2,4471,0.3,88498,5.8,78.6,21.4,55.7,1431361,32.9,13.5
